카테고리,상품명,평점,리뷰수
"Computers&Accessories","Amazon Basics Wireless Mouse | 2.4 GHz Connection, 1600 DPI | Type - C Adapter | Upto 12 Months of Battery Life | Ambidextrous Design | Suitable for PC/Mac/Laptop",5,23
"Home&Kitchen","Swiffer Instant Electric Water Heater Faucet Tap Home-Kitchen Instantaneous Water Heater Tank less for Tap, LED Electric Head Water Heaters Tail Gallon Comfort(3000W) ((Pack of 1))",4.8,53803
"Electronics","Spigen EZ Fit Tempered Glass Screen Protector for iPhone 14 Pro Max - 2 Pack (Sensor Protection)",4.7,7779
"HomeImprovement","Gizga Essentials Cable Organiser, Cord Management System for PC, TV, Home Theater, Speaker & Cables, Reusable Cable Organizer for Desk, WFH Accessories, Organizer Tape Roll, Reusable Cable Ties Strap",4.5,5985
"OfficeProducts","Classmate Soft Cover 6 Subject Spiral Binding Notebook, Single Line, 300 Pages",4.5,8618
"Toys&Games","Faber-Castell Connector Pen Set - Pack of 25 (Assorted)",4.3,15867
"MusicalInstruments","Boya ByM1 Auxiliary Omnidirectional Lavalier Condenser Microphone with 20ft Audio Cable (Black)",4,68664
"Health&PersonalCare","Dr Trust Electronic Kitchen Digital Scale Weighing Machine (Blue)",4,3663
"Car&Motorbike","Reffair AX30 [MAX] Portable Air Purifier for Car, Home & Office | Smart Ionizer Function | H13 Grade True HEPA Filter [Internationally Tested] Aromabuds Fragrance Option - Black",3.8,1118
